name,address,lat,lng,specialty,hours,yelp_url,phone,rating
Blue Bottle Coffee,582 Mateo St Los Angeles CA 90013,34.0394,-118.2228,Third-wave coffee pioneer,6:00 AM - 7:00 PM,https://www.yelp.com/biz/blue-bottle-coffee-los-angeles-6,(213) 986-4899,4.3
Intelligentsia Coffee,3922 W Sunset Blvd Los Angeles CA 90029,34.0978,-118.2775,Artisanal roasting and brewing,6:00 AM - 8:00 PM,https://www.yelp.com/biz/intelligentsia-coffee-los-angeles-3,(323) 663-6173,4.4
Stumptown Coffee Roasters,806 S Santa Fe Ave Los Angeles CA 90021,34.0364,-118.2322,Portland-based craft coffee,7:00 AM - 6:00 PM,https://www.yelp.com/biz/stumptown-coffee-roasters-los-angeles-2,(855) 711-3385,4.2
Go Get Em Tiger,230 N Larchmont Blvd Los Angeles CA 90004,34.0755,-118.3230,Local favorite with great pastries,6:30 AM - 6:00 PM,https://www.yelp.com/biz/go-get-em-tiger-los-angeles-2,(323) 463-0261,4.5
Groundwork Coffee,671 Rose Ave Venice CA 90291,33.9942,-118.4718,Organic and fair-trade coffee,6:00 AM - 7:00 PM,https://www.yelp.com/biz/groundwork-coffee-company-venice,(310) 399-2679,4.1
Alfred Coffee,8428 Melrose Pl Los Angeles CA 90069,34.0837,-118.3737,Instagram-famous coffee spot,7:00 AM - 7:00 PM,https://www.yelp.com/biz/alfred-coffee-west-hollywood-2,(323) 944-0811,4.0
Verve Coffee Roasters,8925 Melrose Ave West Hollywood CA 90069,34.0838,-118.3854,Santa Cruz roastery with LA presence,7:00 AM - 6:00 PM,https://www.yelp.com/biz/verve-coffee-roasters-west-hollywood,(424) 744-9003,4.3
Republique,624 S La Brea Ave Los Angeles CA 90036,34.0621,-118.3444,French bistro with excellent coffee,8:00 AM - 10:00 PM,https://www.yelp.com/biz/republique-los-angeles,(310) 362-6115,4.4
Coffee Commissary,801 N Fairfax Ave Los Angeles CA 90046,34.0874,-118.3617,Local roaster with multiple locations,6:30 AM - 6:00 PM,https://www.yelp.com/biz/coffee-commissary-los-angeles-6,(323) 951-0071,4.2
Dinosaur Coffee,2300 W Sunset Blvd Los Angeles CA 90026,34.0778,-118.2667,Silver Lake neighborhood favorite,7:00 AM - 5:00 PM,https://www.yelp.com/biz/dinosaur-coffee-los-angeles-2,(323) 661-6465,4.3
Menotti's Coffee Stop,1963 Hillhurst Ave Los Angeles CA 90027,34.1089,-118.2894,Los Feliz institution since 1996,6:00 AM - 8:00 PM,https://www.yelp.com/biz/menottis-coffee-stop-los-angeles,(323) 662-1915,4.4
Stories Cafe,1716 Sunset Blvd #200 Los Angeles CA 90026,34.0778,-118.2596,Community-focused with local art,7:00 AM - 7:00 PM,https://www.yelp.com/biz/stories-cafe-los-angeles,(213) 413-4880,4.2
Cafe Gratitude,639 N Larchmont Blvd Los Angeles CA 90004,34.0813,-118.3230,Plant-based cafe with coffee,8:00 AM - 9:00 PM,https://www.yelp.com/biz/cafe-gratitude-los-angeles-2,(323) 580-6383,4.1
